reviews,price,drink,dessert,service,customers,interior,view,parking,etc,trash
강아지와 함께 방문했는데 너무 너무 좋았어요!!,,,,1,,,,,,
제 인생 통틀어 갔던 카페 중에 최고였어요,,,,,,,,,1,
아주 멋있는 뷰,,,,,,,1,,,
따뜻한 온돌 바닥,,,,,,1,,,,
폭신한 매트에 제일 좋았던 프라이 빗 룸!,,,,,,1,,,,
여기는 저장하고 재방문 할거 예요,,,,,,,,,1,
들어오자마자 고민할 겨를도 없이 주문 재촉하는 거 보니 손님에 대한 예의가 전혀 없는 카페네요.,,,,1,,,,,,
옆에서는 재 입장 불가 외치고 있고 앞에서는 주문 빨리 하라는 듯이 눈치 주고 있고 정신 없어서 다시는 안 가고 싶은 곳입니다.,,,,1,,,,,,
여기 가실 분들은 이거 참고하시고,,,,,,,,,,1
인터넷으로 미리 메뉴 사전 조사해 가시길 바래요,,,,1,,,,,,
뷰 대박이죠,,,,,,,1,,,
나이스,,,,,,,,,,1
조 아요,,,,,,,,,,1
별 채가 좋아요,,,,,,1,,,,
늦게까지 있기 좋은 카페입니다,,,,1,,,,,,
기장 바다를 보며 커피 한잔 즐길 수 있는 웨이브 온!,,,,,,,1,,,
늦게까지 영업해서 너무 좋고 즐거운 시간 보내고 왔어요!,,,,1,,,,,,
디저트는 맛나고,,,1,,,,,,,
방갈로에서의 공간은 좋은데 넘 소리 지르듯 안내하 안내하시에 매번 불쾌감이 드네요,,,,1,,1,,,,
뷰는 진짜 좋아요 ,,,,,,,1,,,
따뜻한 라떼는 거의 차가움에 가깝고,,1,,,,,,,,
뜨아는 그냥 따뜻한 맛으로 마셨네요,,1,,,,,,,,
손님 많은 것이 불편하면 직원들 채용을 더 하시지요 자리 찾다가 지치네요,,,,1,,,,,,
기장 바닷가 뷰가 환상적인 웨이브 온 이미 핫플로 소문난 곳이죠?,,,,,,,1,,,
커피도 맛있어요,,1,,,,,,,,
별채가 있어서 강아지 이용 가능 편리해요,,,,1,,1,,,,
음료 메뉴도 새롭고,,1,,,,,,,,
뷰와 분위기 정말 미쳤네요,,,,,,1,1,,,
힐링하기 넘 좋아요,,,,,,,,,1,
뷰가 끝내 줘요.,,,,,,,1,,,
뷰가 좋아요,,,,,,,1,,,
몽블랑 대존맛 통밀 라떼도 존 맛 음료 양은 적어요,,1,1,,,,,,,
뷰 맛집 강추,,,,,,,1,,,
왠만 하면 안 좋은 리뷰는 되도록 안 쓰는데 진짜 기분 너무 안 좋아서 씁니다.,,,,1,,,,,,
주문할 때 뭐 먹지 하고 메뉴보니 하 한숨 쉬고 짜증 내던 남자 직원 분 토요일 오후 9시경 쯤 이것이 무슨 경우인가요. 뒤에 기다리던 팀 없었음 심지어 별 채 있네 하니 설명해 준다고 앞으로 오라 했음,,,,1,,,,,,
강아지 동반 되냐고 나중에 별채 이용할 수 있냐고 물었으면 설명을 제대로 해 주던가 강아지 데리고 다시 들어왔더니 왜 강아지 데리고 들어오냐고 짜증 내던데 어이가 없네요,,,,1,,,,,,
커피는 뭐가 뭔지 적혀 있지도 않고 이런 좁은 공간인 별채만 강아지 이용 가능한 줄 알았음 오지도 않았을 터인데 돈 내고도 짜증이랑 한숨 화내는 거 다 듣고 있자니 열 뻗치네요,,,,1,,,,,,
서비스 진짜 최악입니다. 두 번 다시는 안 옵니다. 친구들도 물어 보니 이런 경우 많았다고 하네요,,,,1,,,,,,
너무 복잡해요,,,,,,,,,1,
웨이브 온 야외 뷰가 좋은데,,,,,,,1,,,
날씨가 쌀쌀해서 별 채 고스락 방갈로에서 뷰 보며 커피 타임했어요.,,,,,,,1,,,
독립된 조용한 장소 선호하시면 별채에서 드시는 거 추천해요.,,,,,,1,,,,
친절해요,,,,1,,,,,,
기장 바다를 볼 수 있는 뷰가 좋아요,,,,,,,1,,,
조 아요,,,,,,,,,,1
오랜만에 갔는데도 여전히 뷰가 좋아요,,,,,,,1,,,
따뜻한 날씨에 커피 한 잔 하기 좋을 듯 평일 낮에도 사람이 많아요,,,,,,1,,,,
전망이 너무 너무 좋습니다,,,,,,,1,,,
직원 분들 끓는점이 낮은가 봅니다 인기 많은 카페라 힘드신가 봐요,,,,1,,,,,,
직원 분들 안 지치게 사장님이 노력하셔야겠어요,,,,1,,,,,,
사람도 없는 데 여러 직원들이 한꺼번에 이야기해서 고지하는 거 제대로 못 들었더니 실제로,,,,1,,,,,,
고객님을 실제로 보다니…!,,,,1,,,,,,
오늘 하루 바빠서 많이 지치셨나 보네 하고 넘기려했는데… ,,,,1,,,,,,
재 입장이냐 물어 보고 뒤돌아서 본인 할거 하면서 대답 제대로 못 들어 놓구 두 번 물으면서 화내진 마 주세요,,,,1,,,,,,
마스크 껴서 서로 의사소통 안 되는 거 알아서 최대한 잘 듣고 크게 말하려고 노력하는 데 첫 방문에 실망이 크네요,,,,1,,,,,,
부산에 사는데 다들 가 보는 여길 안 가 본 나는 아싸인가 하고 방문했는데 다시는 안 갈 거 같아요,,,,1,,,,,,
제가 안 가도 장사는 잘 되겠죠 많이 번창하세요,,,,1,,,,,,
뷰가 너무 이쁘고,,,,,,,1,,,
분위기도 좋아요!,,,,,,1,,,,
연인끼리 가면 더 좋은 곳,,,,,,1,,,,
음료 찐하고 맛있어요,,1,,,,,,,,
맛은 그냥 그래욤,,1,,,,,,,,
여기 시그니쳐메뉴인 월 내 라떼시켜 봤는데 그냥 라떼에 안 녹은 홍차 시럽..,,1,,,,,,,,
겨우 섞어 먹었더니 개별로에여 과테말라 브루잉커피도 그닥..,,1,,,,,,,,
포크도 안 씻은 거 줘서 안 보고 먹었으면 큰일 날 뻔 요,,,,1,,,,,,
대신 케이크류인 리치블러썸 레몬 타르트는 맛있게 먹었어요,,,1,,,,,,,
커피는 비싸면서 맛도 별로 양도 별로 신경 좀 쓰셔야할 듯 요 뷰는 좋습니다,,1,,,,,1,,,
외곽 풍경은 좋은데 앉는 자리가 너무 불편한 것 같은데..,,,,,,,1,,,
주말에는 무조건 오픈 런하세요,,,,,,,,,1,
사람이 너무 많아서 정신없네요,,,,,1,,,,,
몽블랑 케이크 강추,,,1,,,,,,,
뷰가 좋아서 잘 즐기다 갑니다.,,,,,,,1,,,
커피나 케익 모두 맛은 쏘쏘해요.,,1,1,,,,,,,
뷰굳,,,,,,,1,,,
친절하세요,,,,1,,,,,,
입장과 동시에 결제부터 하고,,,,1,,,,,,
자리를 볼 수 있는 것이 어이가 없네요,,,,1,,,,,,
자리도 없고,,,,1,,,,,,
그나마 있는 자리는 땡볕 들어오는 자리만 있는 데 이럴 거면 여기 안 왔죠,,,,1,,,,,,
뙤약볕 쬘 거면 길에 서 있지 돈 내고,,,,1,,,,,,
여길 왜 들어와요???!!!!!?!?!?!?!!! 열 받네 정말 풀문 커피는 메 X 커피랑 비슷한데,,,,1,,,,,,
개인차가 있습니다.,,,,1,,,,,,
서비스 안내나 대응 등은 기대치 이하라 서울에서 기대하고 왔는데 실망하고 갑니다.,,,,1,,,,,,
바다가 눈앞에 바로 있어요.,,,,,,,1,,,
바다뷰가 너무 좋아요,,,,,,,1,,,
커피도 맛있네요,,1,,,,,,,,
뷰가 다합니다 디저트 종류가 다양하고 맛있네요,,,1,,,,1,,,
날씨 좋은 날 바다 보면 커피 마시기 넘 좋습니다,,1,,,,,1,,,
소문대로 뷰 맛집,,,,,,,1,,,
사진 잘 찍음 그리스 산토리니 같아요.,,,,,,1,,,,
음료 디저트 맛은 쏘쏘함,,1,1,,,,,,,
소금 빵이 유명해요,,,1,,,,,,,
예약을 해야 됨,,,,1,,,,,,
커피 맛 있고,,1,,,,,,,,
뷰짱,,,,,,,1,,,
직원 싸가지 없음,,,,1,,,,,,
부산 여행 오시면 꼭 와 보세요.,,,,,,,,,1,
너무 편하고 예쁜 곳이네요.,,,,,,1,,,,
대형 카페라는 건 알고 갔는 데 모든 곳이다,,,,,,1,,,,
포토스팟에용 주차공간도 넉넉하고 모든 직원 분들이 바빠서 지쳐 보이지만,,,,,,1,,,,
최선의 서비스를 다하기 위해 노력한다는 느낌이 들었어요,,,,1,,,,,,
갑자기 가서 못 꾸미고 가서 사진은 못 찍고 대충 에 사진만 찍은 것이 너무 아쉬워요 또 갈 거에용,,,,,,1,,,,
몽블랑도 넘넘 맛있어요,,,1,,,,,,,
서울 서 놀러 온 친구에게 시그니쳐 이쁜 왕 진주 가리비 케잌 사 주고 싶었는 데 오후 3시쯤 오니까 솔드 아웃이라 엄청 아쉬워용,,,1,,,,,,,
그러나 친구들이 뷰맛에 너무 좋아해요,,,,,,,1,,,
가까우면 매일 오고 싶어요,,,,,,,,,1,
기장에서 젤 유명한 ?듯 한 웨이브 온 오픈 시간에 맞춰 간다고 했는데 좀 늦어져서 10시 25분 쯤? 도착.,,,,,,,,,1,
부지런한 분들 많으시다,,,,,1,,,,,
이미 그늘이 잘 드는 바깥쪽 자리는 만석 그래도 밖에 남은 자리가 많았는데 해가 바로 내리쬐는 자리라 실내 2 층 테라스 석에 자리를 잡았다,,,,,1,,,,,
월요일 오전 기준 손님이 많지는 않아서 여기저기 사진 찍기는 좋았다,,,,,,1,,,,
커피는 무난 무난,,1,,,,,,,,
가격이 좀 비싼 데 뷰가 정말 좋아요,1,,,,,,1,,,
즐거웠어요,,,,,,,,,,1
사람이 너무 많아서 자리 잡기 힘들었어요!,,,,,1,,,,,
부산 여행 시 필수 추천 장소.,,,,,,,,,1,
인테리어 예술입니다.,,,,,,1,,,,
굿 뷰 맛집,,,,,,,1,,,
사람 너무 많아서 웨이브 온 옆 별채 이용했어요.,,,,,,1,,,,
부모님이랑 오기 좋아요,,,,,,,,,1,
커피가 맛나고 조아요,,1,,,,,,,,
강아지가 있어서 별관으로 왔어요,,,,1,,1,,,,
테라스에 강아지 출입이 가능한 줄 알았는데 아니라서 조금 실망스러워요,,,,1,,,,,,
별 관은 통 유리창에 바닷바람은 안 들어오고 조금 덥지만,,,,1,,,,,,
풍경은 좋아요,,,,,,,1,,,
그래도 별관에 강아지가 들어올 수 있어서 이 점은 좋습니다,,,,1,,,,,,
조 아요,,,,,,,,,,1
시원한 밤바다 파도 소리...,,,,,,,1,,,
이뻐요 뷰 맛집!!!,,,,,,,1,,,
친구가 부산 와서 함께 갔는 데 너무 좋아하네요,,,,,,,,,1,
뷰도 좋고,,,,,,,1,,,
커피 디저트도 맛있었어요,,1,1,,,,,,,
멋져요,,,,,,,,,,1
부산 여행 기장 힐튼으로 가기 전 웨이브 온 까페 방문 뷰가 다했다 해도 과언이 아닐 정도로 뷰가 아름다운 까페 빈 백에 편안하게 바다 보며 뜨아마시기 카카오 친구 추천을 하면 드립커피를 하나 받을 수 있는 쿠폰도 준다,,,,,,,,,,1
라떼 종류가 많이 달아요. 다 맛이 별로신 분은 참고 하세요,,1,,,,,,,,
뷰가 좋아요,,,,,,,1,,,
나이스뷰,,,,,,,1,,,
스콘이랑 크림치즈 롤 진짜 맛있어용,,,1,,,,,,,
바닐라 라떼 진짜 달더라구용,,1,,,,,,,,
밖에 많이 추웠는 데 담요가 두꺼워서 좋았어요,,,,,,1,,,,
센스짱,,,,,,,,,,1
다음에 밝을 때 한 번 더 가 보고 싶어요,,,,,,,,,1,
분위기가 좋아요.,,,,,,1,,,,
웨이팅도 길고,,,,,1,,,,,
음료도 비싸지만,1,,1,,,,,,,
뷰가 너무 좋아서 모든 것이 용서되는 곳...,,,,,,,1,,,
다만 담요 위 청결 도와 빈 백? 쿠션의 청결도가 의심,,,,1,,,,,,
웨이브 온은 최고의 카페예요 뷰가 좋고,,,,,,,1,,,
이벤트가 이어 좋네요,,,,,,,1,,,
와 종이컵보다 살짝 큰 커피가 7천 원이라니..,1,1,,,,,,,,
뷰가 너무 좋아요,,,,,,,1,,,
뷰 때문에 오게 되는 카페,,,,,,,1,,,
분위기 좋고,,,,,,1,,,,
사진 찍기 좋지만,,,,,,1,,,,
커피 맛은 좀 아쉬워요,,1,,,,,,,,
참 방문하기 어려운 곳,,,,,,,,,1,
뷰가 너무 좋아요,,,,,,,1,,,
뷰가 정말 좋고 느긋한 오후 쉬고 즐기기에 좋은 곳이에요,,,,,,,1,,,
커피 맛이 맛있어요,,1,,,,,,,,
뷰도 좋고,,,,,,,1,,,
뷰가 아주 좋다 소풍 가는 기분으로 갈 수 있는 카페다,,,,,,,1,,,
케이크 맛도 좋다,,,1,,,,,,,
커피는 약간 가성비가 아쉽다,,1,,,,,,,,
뷰는 좋아요.,,,,,,,1,,,
그러나 사람들이 너무 많아서 시장 같은 느낌 다시는 못 갈 거 같아요.,,,,,1,,,,,
커피는 제 스타일은 아니었지만,,1,,,,,,,,
뷰 맛집이 네 여,,,,,,,1,,,
뷰 맛집!!,,,,,,,1,,,
재방문 하고 싶어요!!,,,,,,,,,1,
뷰가 좋아요,,,,,,,1,,,
조 아요,,,,,,,,,,1
뷔가 죽여요,,,,,,,1,,,
바다를 바라보면서 힐링 이고 가요.,,,,,,,1,,,
뷰,,,,,,,,,,1
커피 사진은 깜빡했네요.,,1,,,,,,,,
그래서 건물 사진만 올려요.,,,,,,1,,,,
건물이 이뻐서 상까지 받은 곳임.,,,,,,1,,,,
뷰가 좋아서 전 두 번째 방문,,,,,,,1,,,
친절하지 않아요.,,,,1,,,,,,
와글와글 너무 정신 없는 곳.,,,,,1,,,,,
뷰가 끝내 줘요 의자도 넘 편하고,,,,,,1,1,,,
자리가 많아서 사람이 많아도 회전율이 빠르네요,,,,,1,,,,,
자리 잡기가 진짜 힘들지만,,,,,,,,,1,
초가을 밤에 방문했는데 진짜 선선하고 좋았네요,,,,,,,,,1,
감성이 짱,,,,,,1,,,,
비싸요,1,,,,,,,,,
뷰가 좋아요.,,,,,,,1,,,
강아지랑 별채에서 좋아요,,,,1,,1,,,,
매장 안은 테이블이 좀 더러워요,,,,1,,,,,,
사진 찍음 예쁘게 나와요.,,,,,,1,,,,
커피 맛은 그닥,,1,,,,,,,,
프리미엄 아울렛 방문 후 웨이브 온 방문하면 드립백 준다 해서 쿠폰 받아 갔더니 수령 방식 개선 필요합니다.,,,,,,,,,1,
카운터에서 주문받으면서 일괄 나눠 주면 좋을 터인데 음료 나눠 주시는 분이 진동 벨 수거하고,,,,,,,,,1,
음료 나눠 준다고 정신없는 데 드립 백 달라고 하기도 미안하고 그분도 번거로울 듯.,,,,,,,,,1,
뷰는 좋은 만큼 사진 찍기가 좋습니다.,,,,,,,1,,,
크림치즈 롤에 크림치즈는 짜고 시트는 퍽퍽해요.,,,1,,,,,,,
시트 특성상 그런 것 같은 데 추천 드리진 않습니다 ,,,1,,,,,,,
커피는 과테말라산 갖다 쓰는 지 특유의 텁텁한 맛이 납니다.,,1,,,,,,,,
거기에 일 주일 지난 커피 특유의 산미도 느껴지기에 아메리카노 커피만큼은 추천 드리지 않습니다.,,1,,,,,,,,
레드 웨이브는 바닥에 청이나 시럽이 깔려 있는 만큼 잘 섞으셔야합니다. 안 섞으면 굉장히 달아서 먹기 힘드실 수 있고 맛 보시고 너무 다시면 물 섞어 드시는 걸 추천 드립니다.,,1,,,,,,,,
그리고 바다 뷰 자리는 앉기가 매우 힘듭니다.,,,,,,1,1,,,
비쌈,1,,,,,,,,,
부산 핫플 카페라고 설레임으로 방문한 웨이브 온 선 주문 결제 후 카페 안으로 입장이 가능한 곳이예요.,,,,1,,,,,,
주문 후 앉을 자리를 찾아 1 층 2 층 3 층을 다 둘러봐도 자리가 없어,,,,1,,,,,,
헤매다 루프탑 뜨거운 태양 아래 음료 마시다 왔네요.,,,,1,,,,,,
좌석 정한 다음 주문을 받았으면 좋겠다는 아쉬움 가득입니다.,,,,1,,,,,,
바다뷰는 최고입니다.,,,,,,,1,,,
웬만해서 별로라고 안 하는 데 정말 최악입니다..,,,,1,,,,,,
자리도 없는 데 손님은 계속 받고,,,,1,1,,,,,
자리가 없어서 음료 이미 결제한 손님들은 자리 찾으려고 계속 돌아다닙니다,,,,1,1,,,,,
다른 사람 앉았다 간 테이블 닦지도 않고,,,,1,,,,,,
계단에는 음료 엎질러져 있고요 입장 자체를 할 때 음료 결제 해야 입장할 수 있게해 놓은 시스템이 너무 별로입니다,,,,1,,,,,,
자리 확인하고 주문 받던가 하셔야할 거 같네요,,,,1,,,,,,
오픈 시간에 가는 거 아니면 비추요,,,,,,,,,1,
아메리카노 먹지 말고 무조건 브루잉커피 드세요!,,1,,,,,,,,
정말 가격 비싸고 양이며 질이면 최악 ~,1,,,,,,,,,
뷰 말고는 암 것두 없어요,,,,,,,1,,,
진심 찐후기임,,,,,,,,,,1
뷰가 멋져요,,,,,,,1,,,
또 방뭉핳거여,,,,,,,,,1,
주말에 사람 많은 웨이브 온 평일 오후 4시가 넘어 왔는데도 주차장이 꽉 찼네요,,,,,1,,,1,,
직원 안내에 따라 음료 주문을 했고,,,,1,,,,,,
가격은 평균6-7 천 원대입니다,1,1,,,,,,,,
직원이 많아 음료는 빨리 나오는 편이고,,,,1,,,,,,
요청하면 사진과 같은 별채로 이동할 수 있어요,,,,1,,,,,,
트레이를 들고 이동해야해서 번거롭긴하지만,,,,1,,,,,,
조용하게 이야기를 나누고 싶을 때 나이 지긋한 어른들과 함께 갔을 때 편안히 쉬다 오기 좋아서 추천합니다,,,,1,,,,,,
뷰 맛집 커피는 쏘쏘,,1,,,,,1,,,
사람 엄청 많아서,,,,,1,,,,,
기대보다는 멋진 곳이에요,,,,,,,,,1,
케잌도 흔하지 않은 종류들이고 맛있어요,,,1,,,,,,,
분위기 좋구 바다를 보며 차 한잔 즐길 수 있어요!,,,,,,,1,,,
바다 보며 한 잔,,,,,,,1,,,
알프스의 샤모니 몽블랑!?,,,1,,,,,,,
눈 덮힌 모양이 귀여워서 몽블랑 기대 없이 시켰는 데 8000원 너무맛있었어요 강추요!!!,1,,1,,,,,,,
데코로 스위스 국기 꽂아도 귀여울 듯!,,,,,,,,,1,
꿀 꿀해서 혼자 드라이브 나왔는 데 그 동안 한 번도 없었던 라떼에 하뚜를 주셔서 보는 순간,,1,,,,,,,,
꿀 꿀한 기분 날리고,,,,,,,,,1,
위로가 됐어요,,,,,,,,,1,
혼자 달달한 거 먹으며 멍 때리기 좋았어요,,,,,,,,,1,
감 사랑합니다,,,,,,,,,1,
뷰 맛집,,,,,,,1,,,
커피숍에서 휴양했네요,,,,,,1,,,,
음료가 다양하고 맛있네요.,,1,,,,,,,,
쑥절미 맛있어요,,,1,,,,,,,
뷰가 멋져요,,,,,,,1,,,
기장의 핫 플레이스라고 해 방문,,,,,,,,,1,
시원한 바람과 드넓은 바다를 바라보고 있으니 무거운 마음도 잠시 내려 놓게 되네요.,,,,,,,1,,,
지나만 다녔지 매장 이용은 첨인데 비싸고....,1,,,,,,,,,
철저하게 1 인 1 메뉴 주문하도록 입구를 해 놔서 뭐랄까 전 또 갈 것 같지는 않아요.,,,,1,,,,,,
허나 바다 뷰 좋고,,,,,,,1,,,
자리도 편하고,,,,,,1,,,,
깔끔하게 잘 관리하는 것 같았어요.,,,,1,,,,,,
연인들 데이트하기에 진짜 좋은 곳인 것 같았어요,,,,,,,,,1,
5년 된 것 같던데 연식에 비해 까페 관리 진짜 잘 되는 것 같고,,,,1,,,,,,
주차 요원도 여러 분 계신 것 같았고요.,,,,1,,,,,,
장점도 많았습니다.,,,,,,,,,1,
좀,,,,,,,,,,1
호퍼에 맨손 넣어서 원두 휘젓는 모습 보고 놀랬습니다 아무리 바빠도 기본적인 위생은 지켜 주세요,,,,1,,,,,,
부모님과 점심 식사 후 리뷰 보고 첫 방문했는 데 경치는 좋았어욤.,,,,,,,1,,,
하지만 주문하면서 화장실 사용을 하려니 주문 후 사용 가능하다고 직원이 불친절하게 응대하네요. 넘 삭막하네요. 짜증 났음 급한 사람 어찌하라고,,,,1,,,,,,
이런 것이 내 행복!,,,,,,,,,,1
좋이요 아주 많이,,,,,,,,,,1
집입로가 1 차선이고 구불구불 하지만 막상 들어서면 손님이 바글바글.,,,,,1,,1,,,
케잌 맛있고,,,1,,,,,,,
자연 경관 예쁘고,,,,,,,1,,,
마당에 쉴 수 있는 데크나 테이블도 많아서 좋음.,,,,,,1,,,,
남자 화장실은 2 층,,,,1,,,,,,
뷰값이긋지유,,,,,,,1,,,
오랜만에 방문했어요,,,,,,,,,1,
다른 카페들보다 좀 어수선한 느낌이 있음!!,,,,,1,,,,,
야외 나갔다 오면 영슈증 필요하기때매 들고 있어야함 불편!!,,,,1,,,,,,
괜히 통로 만들어 놓고 주문하라는 식이라 별로임!,,,,1,,,,,,
카운터랑 멀리서 사진 찍고 있는 데 나이 많은 오지랖 아줌마가 커피를 드릴까요함,,,,1,,,,,,
 교육이 필요함!,,,,,,,,,,1
고객이 필요하면 가까이 갈 것인데 기다릴 줄 모름!,,,,1,,,,,,
실내 의자 불편 함 다시는 안 갈 듯,,,,,,1,,,,
웨이브 온 뷰가 정말 멋쪄요,,,,,,,1,,,
직원 불친절,,,,1,,,,,,
장사 좀 댄다고 그러는지 카운터 남자 직원 때문에 기분 상함요,,,,1,,,,,,
뷰가 완전 짱!,,,,,,,1,,,
커피 맛도 최고.,,1,,,,,,,,
디저트도 최고 부산 어면 꼭 들려 주세요,,,1,,,,,,,
여기도 부산 기장에 있는 뷰 맛집입니다.,,,,,,,1,,,
근처에서 식사를 하고 커피와 디저트를 먹으며 바다 보며 멍 때리기 또는 수다를 떠는 곳.,,,,,,,,,1,
주차장이 넓고 편하죠.,,,,,,,,1,,
이번 혼자서 부산 기장 출장 중이라 일정이 바빠서 후딱 간단히 게 아이스 아메만 한 잔 사서 바로 이동했습니다.,,1,,,,,,,,
사람 너무 많아요,,,,,1,,,,,
레듯 썬셋 자몽 조각 케잌이 맛있네요,,,1,,,,,,,
모처럼 휴일에 와이프랑 들렀는 데 분위기가 너무 좋네요.,,,,,,1,,,,
라틴풍 음악이 흘러나오고 맛있는 커피와 달달한 초콜릿 케익이 너무 좋네요,,,1,,,1,,,,
야외 테라스에 편하게 앉을 자리도 있고,,,,,,1,,,,
뷰도 너무 예뻐요!!,,,,,,,1,,,
뷰는 좋아요,,,,,,,1,,,
원전이 보여요,,,,,,,;;;;;;,,,
일회용 잔 아쉽네요,,,,1,,,,,,
커피값도 비싼 디,1,1,,,,,,,,
사람 구경 잘 하구 왔네요,,,,,1,,,,,
조용한 날 가세용,,,,,,,,,1,
주말에는 피하세요,,,,,,,,,1,
선 결재 입장이구 앉을 곳 없어도 들어가야 하네요,,,,1,,,,,,
돈 쓰고 벌서는 듯,,,,1,,,,,,
뷰 짱 좋아요!,,,,,,,1,,,
사람이 많아서 자리 눈치 게임해야 하는 거 빼구요,,,,,1,,,,,
굿 굿 넘 좋아요,,,,,,,,,,1
바다 보기 진짜 좋아용,,,,,,,1,,,
정말 뷰 맛집입니다,,,,,,,1,,,
밖에서 보는 바다는 정말 그림입니다,,,,,,,1,,,
해 가지니까 전등이 켜지면서 또 다른 분위기를 만들어 주더라구요,,,,,,1,,,,
제가 시켰던 썸머 레몬에 이드는 생각보다 너무 자극적이라...,,1,,,,,,,,
그래도 뷰가 큰 한몫했습니다,,,,,,,1,,,
뷰도 좋은데,,,,,,,1,,,
커피도 맛있어요,,1,,,,,,,,
뷰가 좋앙,,,,,,,1,,,
좋아요 재방문 의사 있음 대신 많이 복잡해서 대기가 길어요,,,,,1,,,,,
나무나 멋져요,,,,,,,,,,1
사진이 너무 잘 나와요,,,,,,1,,,,
뷰 굿,,,,,,,1,,,
뷰가 너무 예뻐요!,,,,,,,1,,,
음료도 맛있었어요.,,1,,,,,,,,
드립 커피를 주문하면 초콜렛을 하나 주는 데 부드러워서 따로 시켜 먹고 싶었어요,,1,,,,,,,,
나중에 케이크도 주문해서 먹었는 데 위에 있는 조개 초콜렛만 빼면 생각보다 맛있다고 생각했어요!,,,1,,,,,,,
모양을 못 이길 거라 생각했는 데아니였어요,,,,,,,,,,1
커피는 퀄에 비해 너어어어어무 비쌉니다,1,1,,,,,,,,
이런 곳은 이쁜 컵이 좋은데 그냥 종이컵이라 아쉬워요,,,,1,,,,,,
바다 보러 오는 거죠,,,,,,,1,,,
카페도 넓고,,,,,,1,,,,
바다도 이쁘고 좋아 여,,,,,,,1,,,
케이크는 드시지마세여 아까워요,,,1,,,,,,,
뷰 맛집....................................,,,,,,,1,,,
커피는 입맛에 조금 부족했어요,,1,,,,,,,,
웨이브 온 단골 커피숍입니다,,,,,,,,,,1
뷰가 너무 좋아서 멍하니 시간이 금방 갑니다.,,,,,,,1,,,
커피도 직접 로스팅하고 여러 종류의 원두 중 선택 해 취향에 맞게 고를 수 있네요.,,1,,1,,,,,,
뷰만 좋은 것이 아니라 커피도 맛이 아주 좋습니다.,,1,,,,,1,,,
뷰 맛집입니다,,,,,,,1,,,
뷰는 좋은 대 사람이 너무 많네요,,,,,1,,1,,,
뷰가 끝내 주네요,,,,,,,1,,,
여지껏 가 본 카페 중 최고입니다,,,,,,,,,,1
빵과 음료도 좋았어요,,1,1,,,,,,,
밤바다 보고 싶을 때 가도 좋겠어요.,,,,,,,1,,,
그런데 많이 추워요,,,,,,,,,1,
진심 짜증 남 주문 안 하고,,,,1,,,,,,
구경만 오는 사람들이 싫은 건 알겠다만 같이 온 일행이 주문 순서 다음이고,,,,1,,,,,,
화장실이 무지 급해서 입구 옆 화장실만 가겠다는데 못 가게함 주문하고 가라,,,,1,,,,,,
무한 반복,,,,1,,,,,,
뷰는 좋다 만 커피도 그닥,,1,,,,,1,,,
기장 쪽에 뷰좋은 다른 카페 많이 생기니 다신 안 오겠음,,,,,,,,,,1
지인의 있어서 갔습니다.,,,,,,,,,,1
뷰 하나는 좋습니다.,,,,,,,1,,,
부산의 동남아 바다를 경험할 수 있는 곳,,,,,,,1,,,
아메리카노 산미가 너무 쎄요,,1,,,,,,,,
멋져요,,,,,,,,,,1
예쁘긴했지만 야외 의자는 앉기 좀 찝찝하더라구오...,,,,1,,1,,,,
커피도 맛있고,,1,,,,,,,,
다양한 자리 빈 백이나 루프 탑 등등 마련돼 있어서 너무 너무 좋아요.,,,,,,1,,,,
행복한 부산 여행을 만들어 준 카페!,,,,,,,,,,1
인간들 다 자빠져서 낯 뜨겁게 애정 표현하는 것들도 있고,,,,,,,,,1,
방 잡구 모텔 가던지,,,,,,,,,1,
눠서 집구석 갈 생각도 안 하고,,,,,,,,,1,
뷰는 좋지만,,,,,,,1,,,
나머진 그닥 좋은지 모르겟음,,,,,,,,,,1
음료 값이 비싸긴하지만,1,1,,,,,,,,
뷰는 좋아요,,,,,,,1,,,
뷰 짱이에요,,,,,,,1,,,
뷰가 너무 이뻐요,,,,,,,1,,,
별채도 좋아요,,,,,,1,,,,
5년 전 방문 오늘도 재 방문했는 데 인테리어 많이 낡았어요.,,,,,,1,,,,
제 정비가 필요한 것 같아요.,,,,,,1,,,,
바다 전망은 좋아요,,,,,,,1,,,
대한민국에 이런 멋진 뷰를 지닌 카페가 있다는 것이 자랑스럽고,,,,,,,1,,,
경관이 너무 아름답습니다,,,,,,,1,,,
뷰 맛집입니다.,,,,,,,1,,,
봄가을 책 읽어 보고도 싶고,,,,,,,,,1,
바닷바람에 어떤 커피도 맛있었을 거에요.,,,,,,,1,,,
커피 가격이 좀 비싸긴해도 자릿 값으로 생각하고 아깝지 않습니다,1,1,,,,,,,,
좋아요 휴가 온 기분입니다,,,,,,,,,1,
오션뷰가 끝내주게 좋은 기장 웨이브 온,,,,,,,1,,,
커피도 케잌도 짱 맛나욤,,1,1,,,,,,,
언제든 다시 오고 싶은 부산 기장의 명소 중 명소,,,,,,,,,,1
따뜻한 담요도 있고,,,,,,1,,,,
등받이 쿠션은 정말 갓!!!,,,,,,1,,,,
스트레스는 바다에 던져 버리고 상쾌한 바다 소리만 가슴에 담아 올 수 있어서 정만 강츄해요,,,,,,,1,,,
쵝오,,,,,,,,,,1
